rain_true,rain_pred,wind_spd_true,wind_spd_pred,wind_dir_sin_true,wind_dir_sin_pred,wind_dir_cos_true,wind_dir_cos_pred,pressure_true,pressure_pred
0.0,0.28683788,0.06981677,0.10370801,-0.7924113,-0.03533484,-0.60998714,0.121461354,-0.088885896,-0.23786247
0.0,0.2306929,0.3147936,0.042910516,-0.99497944,-0.076222815,-0.10007953,0.115484,-0.23032913,-0.21824697
0.0,0.24394336,-0.017589426,0.019778367,-0.7274535,-0.10910157,-0.686157,0.117551886,-0.16547856,-0.22824866
0.0,0.19706792,-0.057885416,-0.06255624,-0.7040147,-0.2339083,-0.71018535,0.11903822,0.13591821,-0.21901485
0.0,0.18294898,-0.10155697,-0.09923428,-0.8613781,-0.3011811,-0.5079644,0.07139143,-0.19099261,-0.18457076
0.0,0.17623818,0.05272748,-0.09547508,-0.6711386,-0.315077,-0.74133193,0.054996498,-0.31842273,-0.1853787
0.0,0.17244743,0.106544115,-0.11054438,-0.73992467,-0.3797713,-0.67268974,0.038189054,-0.19019075,-0.16883308
0.0,0.19445452,0.099614866,-0.016926628,-0.47153142,-0.19136941,-0.8818493,0.08595815,-0.33560407,-0.20050862
0.0,0.16609761,0.11161289,-0.051299874,-0.2699283,-0.2918996,-0.96288043,-0.0017495006,-0.23861139,-0.16179714
0.0,0.18538056,0.5544853,-0.07718678,-0.86914986,-0.34745982,-0.49454877,0.019852787,0.046658255,-0.16492984
0.0,0.17812547,0.19870305,-0.07931441,-0.7734532,-0.34989855,-0.6338535,-0.048428968,-0.21680388,-0.14988425
0.0,0.17286585,0.45682567,-0.10487379,-0.9393168,-0.38812834,-0.34305084,-0.09753233,-0.06654567,-0.14091253
0.0,0.18290132,-0.22423711,-0.11771405,-0.8575416,-0.41679868,-0.5144146,-0.10125652,-0.08935693,-0.14940175
0.08945061,0.20126405,0.3148613,-0.12083091,-0.98569614,-0.4211119,-0.16853239,-0.15083471,0.059841454,-0.15754345
0.2854919,0.21255702,-0.30798078,-0.122801214,0.24279274,-0.40807822,0.9700782,-0.15923166,-0.30421337,-0.1675184
